DATA,PRECIPITACAO_PR,PRESSAO_ATM_PR,TEMP_AR_BULBO_SECO_PR,TEMP_ORVALHO_PR,UMIDADE_RELATIVA_AR_PR,VELOCIDADE_VENTO_PR,PRECIPITACAO_RS,PRESSAO_ATM_RS,TEMP_AR_BULBO_SECO_RS,TEMP_ORVALHO_RS,UMIDADE_RELATIVA_AR_RS,VELOCIDADE_VENTO_RS,PRECIPITACAO_SC,PRESSAO_ATM_SC,TEMP_AR_BULBO_SECO_SC,TEMP_ORVALHO_SC,UMIDADE_RELATIVA_AR_SC,VELOCIDADE_VENTO_SC
2010-08-27,0.8,945.4815461346633,22.50224438902743,8.554613466334164,47.54862842892768,1.6458852867830425,240.0,974.4129837702872,17.243445692883896,14.772208121827411,86.51395939086295,2.4692883895131086,0.8,948.6151187904967,19.423110151187903,12.480993520518359,69.11447084233261,2.4909287257019437
2010-08-28,0.4,945.3854636591478,22.143358395989978,8.990726817042606,49.852130325814535,1.6766917293233083,46.6,972.1959697732997,19.044836272040303,14.871116816431323,78.52631578947368,3.1415617128463476,0.4,949.0682505399568,19.357019438444922,12.671490280777537,70.03023758099351,2.969546436285097
2010-08-29,0.4,945.8265853658537,22.21292682926829,9.725853658536586,51.297560975609755,1.9070731707317072,137.6,974.8402743142145,18.93790523690773,14.455019059720458,76.33926302414231,3.5101123595505617,0.4,949.3794816414687,19.122587719298245,12.618640350877193,69.92324561403508,2.24341252699784
2010-08-30,0.2,946.8806372549019,21.900980392156864,11.283333333333335,56.5,2.6848039215686277,67.6,978.6943253467844,14.95094577553594,12.388451776649747,85.35532994923858,4.479571248423707,11.0,952.9469298245614,17.718201754385966,13.799342105263158,79.91885964912281,2.6326754385964914
2010-08-31,0.0,946.8440594059406,20.889108910891093,11.995049504950495,61.06930693069307,3.62029702970297,53.2,972.5231266149871,18.879198966408268,14.185103626943004,76.70984455958549,4.493023255813953,6.0,951.0822894168466,18.657019438444927,13.47840172786177,74.47084233261339,4.075541125541125
2010-09-01,0.4,946.4445544554455,23.034653465346533,12.788613861386139,56.960396039603964,2.778960396039604,550.2,973.8365699873897,18.815510718789408,15.46830808080808,82.3409090909091,3.117528373266078,13.8,949.9304535637149,20.057236842105265,14.385526315789473,72.43201754385964,3.8101511879049674
2010-09-02,0.6000000000000001,947.7517587939699,23.020854271356782,13.192964824120603,58.78140703517588,1.713316582914573,632.4,977.8568652849741,17.451943005181345,16.36541450777202,93.48316062176166,2.296243523316062,1.4000000000000001,951.6474137931035,20.01336206896552,15.278879310344827,76.45043103448276,2.1539956803455724
2010-09-03,1.0,947.0997493734336,22.384210526315787,12.781203007518796,61.1077694235589,1.512280701754386,408.0,974.1050203527816,17.094029850746267,15.674687065368568,91.55076495132128,2.848303934871099,0.8,950.5778017241379,20.048706896551725,15.212931034482759,76.42456896551724,2.4560344827586205
2010-09-04,1.4000000000000001,946.0500000000001,18.5625,11.701470588235294,68.56862745098039,2.6034313725490197,179.2,972.9856,12.025733333333333,9.671832884097036,86.49191374663073,4.832933333333333,6.8,946.9387096774194,16.96537634408602,13.869462365591398,83.68387096774194,3.264731182795699
2010-09-05,0.0,948.887714987715,15.014742014742014,7.592383292383293,64.85749385749386,2.4348894348894348,3.8000000000000003,981.458186397985,12.312216624685139,7.830451612903226,76.6774193548387,2.452896725440806,0.6000000000000001,952.443347639485,12.84763948497854,7.439699570815451,71.81545064377683,3.2122317596566528
2010-09-06,10.2,952.146365914787,15.576942355889724,8.80501253132832,66.67919799498746,2.767418546365915,0.8,984.8082089552239,13.506094527363183,7.917519181585678,71.25063938618926,2.664054726368159,0.2,957.6447368421053,13.717763157894737,8.281798245614034,71.8201754385965,2.3901315789473685
