id_reg,desc_reg,date,load_mwmed
N,NORTE,2000-01-26 00:00:00,2463.06666667
NE,NORDESTE,2000-01-26 00:00:00,5995.96666667
S,SUL,2000-01-26 00:00:00,7229.73333333
SE,SUDESTE,2000-01-26 00:00:00,26728.6125
N,NORTE,2000-01-27 00:00:00,2484.58333333
NE,NORDESTE,2000-01-27 00:00:00,6066.925
S,SUL,2000-01-27 00:00:00,7112.175
SE,SUDESTE,2000-01-27 00:00:00,25540.09166667
N,NORTE,2000-01-28 00:00:00,2493.06666667
NE,NORDESTE,2000-01-28 00:00:00,6029.79583333
S,SUL,2000-01-28 00:00:00,7059.62916667
SE,SUDESTE,2000-01-28 00:00:00,25015.54166667
N,NORTE,2000-01-29 00:00:00,2402.2625
NE,NORDESTE,2000-01-29 00:00:00,5651.62083333
S,SUL,2000-01-29 00:00:00,6214.3125
SE,SUDESTE,2000-01-29 00:00:00,22674.6625
N,NORTE,2000-01-30 00:00:00,2283.10416667
NE,NORDESTE,2000-01-30 00:00:00,5258.6875
S,SUL,2000-01-30 00:00:00,5442.13333333
SE,SUDESTE,2000-01-30 00:00:00,20515.0875
N,NORTE,2000-01-31 00:00:00,2473.93333333
NE,NORDESTE,2000-01-31 00:00:00,5984.23333333
S,SUL,2000-01-31 00:00:00,6939.6875
SE,SUDESTE,2000-01-31 00:00:00,25555.35
N,NORTE,2000-02-01 00:00:00,2466.4
NE,NORDESTE,2000-02-01 00:00:00,6221.8
S,SUL,2000-02-01 00:00:00,7101.74166667
SE,SUDESTE,2000-02-01 00:00:00,26134.625
N,NORTE,2000-02-02 00:00:00,2474.0125
NE,NORDESTE,2000-02-02 00:00:00,6279.74166667
S,SUL,2000-02-02 00:00:00,7031.08333333
SE,SUDESTE,2000-02-02 00:00:00,26217.28333333
N,NORTE,2000-02-03 00:00:00,2489.07916667
NE,NORDESTE,2000-02-03 00:00:00,6279.625
S,SUL,2000-02-03 00:00:00,7394.05
SE,SUDESTE,2000-02-03 00:00:00,26423.97916667
N,NORTE,2000-02-04 00:00:00,2495.175
